chName,style,歌入／無,テンポ,説明文,備考
ラフマニノフ,シャッフル放送,無,オール,偉大な作曲家であると同時に世界有数の名ピアニストであった、セルゲイ・ラフマニノフ（1873-1943）の作品が24時間楽しめる専門チャンネル。放送では、声楽作品を除く全作品の中からBGM性の高い作品だけを集めてお送りしています。ピアノ独奏作品を中心に、交響曲の美しい緩徐楽章や人気の高いピアノ協奏曲、叙情性豊かな室内楽作品など、ファンの心をくすぐる本格クラシックBGMをご活用ください。,
フレンチスタイル・クラシック,シャッフル放送,無,スロー～ミドル,ドビュッシー、 サティ、ラヴェルほか、フランス近代音楽の一ジャンルとして生まれた印象派の作品を中心に、印象派のスタイルを持つピアノ作品をコンパイル。モネやルノワールが描いた絵画を思わせる色彩的な響きや、心地よい浮遊感を感じさせる和声など、特徴的な印象派の作品の中でも聴き心地の良い楽曲のみをセレクトしています。クラシックですがクラシカルすぎない、洗練された味わいのピアノBGMです。,
J-POP 2020’s Hits,シャッフル放送,入,オール,2020年以降のJ-POPのヒット曲だけを集めた専門チャンネル。フレッシュな最新のヒット曲や話題曲をたっぷりとラインナップしていますので、現在のJ-POPシーンを体感するのにぴったりなコンテンツとなっています。また、10～20代の若者をターゲットとしたカジュアルなお店でのご利用にもおすすめです。,
J-POP 2010’s Hits,シャッフル放送,入,オール,2010年代のJ-POPのヒット曲だけを集めた専門チャンネル。2010年ごろの懐かしい楽曲から記憶に新しいナンバーまで、ヒット曲をセレクトしてお届けします。AKB48やいきものがかり、星野源などの国民的アーティストをはじめ、世界でも注目を集めたPerfumeなど、2010年代を代表するアーティストの楽曲をたっぷりお楽しみください。20～30代がターゲットのお店でのご利用にも最適です。,
J-POP 2000’s Hits,シャッフル放送,入,オール,2000年～2009年までのJ-POPヒット曲を集めた専門チャンネル。浜崎あゆみや宇多田ヒカルの大ブレイク、CHEMISTRYなどの男性R＆BグループやHIP HOPグループがシーンの中心に躍り出ました。また、ゆずや19といったフォークデュオが売り上げを伸ばした年代でもありました。そんな10年間の音楽シーンを凝縮していますので、30代～40代をメインターゲットとしたお店でのご利用にもおすすめです。,
J-POP 2000’s Hits クリスマス,シャッフル放送,入,オール,今や新定番、BoAの「メリクリ」に代表される2000年代の邦楽Xmas。,
J-POP 90’s Hits,シャッフル放送,入,オール,DREAMS COME TRUE、B’z、小室哲哉プロデュースなど数々のミリオンセラーアーティストを生み出した1990年代のJ-POPシーン。誰もが口ずさめるモンスター・ヒットから、意外と懐かしさを感じる曲や隠れた名曲まで、当時のJ-POPのすべてが楽しめるチャンネルです。,
J-POP 90’s Hits クリスマス,シャッフル放送,入,オール,B'z「いつかのメリークリスマス」に代表される90年代の邦楽X'mas。,
J-POP 80’s Hits,シャッフル放送,入,オール,1970年代とともに歌謡曲の黄金期である1980年代。LPレコードからCDへの移行、テレビやラジオの音楽番組、カラオケの普及など、数多くのヒット曲をますます身近で楽しめるようになった時代です。そんな80年代に生まれた誰もが口ずさめるヒット曲を、ジャンルにこだわらず幅広いラインナップでお送りしています。,
J-POP 80’s Hits クリスマス,シャッフル放送,入,オール,山下達郎「クリスマス・イブ」に代表される80年代の邦楽X'mas。,
J-POP 70’s Hits,シャッフル放送,入,オール,TVがカラー放送となり、歌番組が人気であったこの時代。ブラウン管の中ではアイドルをはじめ数々のスターが登場し、視聴者を熱狂させました。その一方でコンサートを中心に活動する人気のフォークシンガーたちも多くの名曲を生み出しました。このチャンネルでは歌謡曲が黄金時代を迎え、多様な音楽が楽しめた1970年代のヒット曲を、演歌を除く幅広いジャンルから放送しています。お店等の時代演出にもご利用ください。,
60・70年代 J-POP,シャッフル放送,入,オール,60年代～70年代、高度経済成長とともに成長した日本の音楽シーン。アメリカン・ポップスの影響を受けたカバー・ポップスや欧米ロックの影響を受けたグループ・サウンズ。オーディション番組から登場した森昌子、桜田淳子、山口百恵。アイドルの先駆け南沙織、小柳ルミ子、天地真理。新御三家と呼ばれた西城秀樹、郷ひろみ、野口五郎。スーパーアイドルグループ、キャンディーズ、ピンクレディー。歌謡曲黄金時代の名曲が満載！,
70～80’s 洋邦 Hits,シャッフル放送,入,オール,70年代中盤～80年代中盤を中心に洋楽・邦楽のヒット曲、名曲の数々を交互に選曲してお届けしています。エヴァーグリーンな香りを漂わせる70年代～MTV誕生でお茶の間に進出した80年代。フォーク、ロック、ニューミュージックなど時代を象徴する歌謡ヒットをはじめ、ハードロック、A.O.R.、ディスコ、今でも耳にすることの多い洋楽ヒットなど・・・。懐かしい元気な時代の演出にもご利用いただけます。,
